file,label,reasons
html\plain_aast.edu_en_colleges_cmt_dokki_news.php_unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_dokki_photogallery.php_unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_dokki_sitemap.php_unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=1&unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=2&unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=3&unit_id=366.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1161.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1162.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1190.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1191.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_announcements.php_unit_id=616.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_events.php_unit_id=616.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_list_staff.php_unit_id=616.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_news.php_unit_id=616.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_elalamein_photogallery.php_unit_id=616.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_announcements.php_unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_contact-us.php_unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_contenttemp.php_m=15&p=38500028&a=b.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10052.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10053.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10065.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=400.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=401.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=402.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=686.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_events.php_unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_news.php_unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_photogallery.php_unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=1&unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=2&&unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=3&unit_id=385.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_latakia_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_latakia_events.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_latakia_index.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_latakia_news.php.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_smartvillage_.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_smartvillage_announcements.php_unit_id=436.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_smartvillage_dept_index.php_unit_id=437.html,not_program,fail:url
html\plain_aast.edu_en_colleges_cmt_smartvillage_events.php_unit_id=436.html,not_program,fail:url
