college_name,campus,program_name,degree,duration_terms,college_id,unit_id,program_id,source_hint
College of Artificial Intelligence-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Artificial Intelligence-El Alamein | AASTMT,,,COLLEGE_OF_A,1,277,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_277_unit_id_655.json;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_CAI_.html
College of Dentistry-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Dentistry-El Alamein | AASTMT,,,COLLEGE_OF_D,1,278,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_dentistry_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=283&unit_id=655"", ""source_page"": ""https://aast.edu/e",,Program 283,,,URL_HTTPSAAS,655,283,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_283_unit_id_655.json
College of Law-Smart Village,"Smart Village, alexandria, aswan, cairo",College of Law-Smart Village | AASTMT,,,COLLEGE_OF_L,1,284,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_law_.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Chemical and Petrochemical Engineering,,,AASTMT_UNSPE,14,285,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=14.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Oil and Gas Engineering,,,AASTMT_UNSPE,12,286,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=12.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Engineering Postgraduate Studies,,,AASTMT_UNSPE,74,291,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=74.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Arab institute for leadership development-Alexandria | AASTMT,,,AASTMT_UNSPE,1,293,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_institutes_aild_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_programs-courses_results-postgrad.php.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_www.aast.edu_en_institutes_aild_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 305,,,URL_HTTPSAAS,385,305,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_305_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 311,,,URL_HTTPSAAS,385,311,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_311_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 312,,,URL_HTTPSAAS,385,312,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_312_unit_id_385.json
College of  Computing &amp,"Alexandria, alexandria, aswan, cairo",College of  Computing &amp; Information Technology-Alexandria | AASTMT,,,COLLEGE_OF_C,1,316,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_ccit_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_www.aast.edu_en_colleges_ccit_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 330,,,URL_HTTPSAAS,385,330,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_330_unit_id_385.json
College of Engineering and Technology at the Arab Academy for Science & Technology & Mariti,Alexandria,"Arab Academy for Science, Technology & Maritime Transport - AASTMT",Bachelor,8,COLLEGE_OF_E,1222,335,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2F%26lnselect%3D1.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_index.php.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_www.aast.edu.html
College of Pharmacy-Alexandria,"Alexandria, alexandria, aswan, cairo",College of Pharmacy-Alexandria | AASTMT,,,COLLEGE_OF_P,1,343,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_pharmacy_alex_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_pharmacy_.html
College of Medicine-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Medicine-El Alamein | AASTMT,,,COLLEGE_OF_M,1,346,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_medicine_.html
College of Management & Technology-El Alamein,"El Alamein, alexandria, aswan, cairo",College of Management & Technology-El Alamein | AASTMT,,,COLLEGE_OF_M,616,380,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html
College of Archeology &amp,"South Valley, alexandria, aswan, cairo",College of Archeology &amp; Cultural Heritage-South Valley | AASTMT,,,COLLEGE_OF_A,1,382,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_archaeology_.html
AASTMT (unspecified),"alexandria, aswan, cairo","Arab Academy for Science, Technology and Maritime Transport- | AASTMT",,,AASTMT_UNSPE,1,387,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_programs-courses_results-undergrad.php.html
AASTMT (unspecified),"Smart Village, alexandria, aswan, cairo",Marketing,,,AASTMT_UNSPE,437,404,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_smartvillage_dept_index.php_unit_id=437.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Graduate School of Business-Alexandria | AASTMT,,,AASTMT_UNSPE,1,410,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_gsb_Alex_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_gsb_.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Business Information Systems-Alexandria | AASTMT,,,AASTMT_UNSPE,232,411,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_programs-courses_program.php_unit_id=232&program_id=411&language_id=1.html
College of Language and Communication-Alexandria,"Alexandria, alexandria, aswan, cairo",College of Language and Communication-Alexandria | AASTMT,,,COLLEGE_OF_L,1,418,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_clc_alex_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_clc_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 426,,,URL_HTTPSAAS,385,426,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_426_unit_id_385.json
College of International Transport and Logistics - Dokki,"Dokki, El Alamein, Latakia, alamein, alexandria, aswan, cairo, dokki, latakia",College of International Transport and Logistics - Dokki,,100,COLLEGE_OF_I,1,438,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_dokki_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_elalamein_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_latakia_.html
College of International Transport and Logistics -Smart Village,"Smart Village, South Valley, alexandria, aswan, cairo",College of International Transport and Logistics -Smart Village | AASTMT,,,COLLEGE_OF_I,1,439,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_smart_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_southvalley_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 442,,,URL_HTTPSAAS,385,442,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_442_unit_id_385.json
College of International Transport and Logistics -Port Said,"Port Said, alexandria, aswan, cairo",College of International Transport and Logistics -Port Said | AASTMT,,,COLLEGE_OF_I,1,445,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_citl_portsaid_.html
College of Language and Communication-Smart Village,"Smart Village, alexandria, aswan, cairo",College of Language and Communication-Smart Village | AASTMT,,,COLLEGE_OF_L,1,476,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_clc_smartvillage_.html
College of Fisheries and Aquaculture Technology-Alexandria,"Alexandria, alexandria, aswan, cairo",College of Fisheries and Aquaculture Technology-Alexandria | AASTMT,,,COLLEGE_OF_F,1,487,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_cfat_.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Construction & Building Engineering,,,AASTMT_UNSPE,62,514,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=62.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Architectural Engineering & Environmental Design,,,AASTMT_UNSPE,46,529,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=46.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Electrical & Control Engineering,,,AASTMT_UNSPE,45,532,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=45.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Regional Maritime Security Institute (RMSI)-Alexandria | AASTMT,,,AASTMT_UNSPE,1,22520,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_institutes_rmsi_.html
