college_name,campus,program_name,degree,duration_terms,college_id
Business Information System,"Cairo, Heliopolis",Business Information System -Heliopolis,MSc,,BUSINESS
Finance and accounting,"Cairo, Heliopolis",Finance and accounting -Heliopolis,MSc,,FINANCEA
Local Training,"Cairo, Heliopolis",Local Training - CMT Heliopolis,MSc,,LOCALTRA
CMT Latakia,Latakia,CMT Latakia| Home,,,CMTLATAK
CMT,"Heliopolis, Smart Village",CMT | Events,,,CMT
CMT,"Abu Kir, Abu kir, Alamein, Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Port said, Smart Village, Smart village, South Valley",CMT | News,mba,28,CMT
College of Management,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Management-Smart Village | AASTMT,,,COLLEGEO
Marketing,Smart Village,Marketing,Bachelor,,MARKETIN
University of Hull,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",University of Hull-Smart Village | AASTMT,B.Sc,,UNIVERSI
College of Management & Technology,"Alexandria, Aswan, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Management & Technology-South Valley | AASTMT,,,COLLEGEO
College of Engineering & Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Engineering & Technology-Alexandria | AASTMT,,,COLLEGEO
Oil and Gas Engineering,Alexandria,Oil and Gas Engineering,Bachelor,,OILANDGA
Chemical and Petrochemical Engineering,Alexandria,Chemical and Petrochemical Engineering,Bachelor,,CHEMICAL
Electrical & Control Engineering,Alexandria,Electrical & Control Engineering,Bachelor,,ELECTRIC
Architectural Engineering & Environmental Design,Alexandria,Architectural Engineering & Environmental Design,Bachelor,,ARCHITEC
Marine and Offshore Engineering,Alexandria,Marine and Offshore Engineering,Bachelor,,MARINEAN
Mechanical Engineering,Alexandria,Mechanical Engineering,Master,,MECHANIC
Basic and Applied Science Engineering,Alexandria,Basic and Applied Science Engineering,,,BASICAND
Construction & Building Engineering,Alexandria,Construction & Building Engineering,B.Sc,,CONSTRUC
